epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,807.207,0.78468,4.90678,0.40685,1.07152,1.20633,0.42809,0.74293,0.5277,0.36779,0.50073,0.26043,0.17797,0.09022,1.31451,5.46332,0.11478,1.11332,2.12213,0.000478938,0.000478938,0.000478938
72,818.525,0.73954,4.90453,0.41154,0.99765,1.17219,0.39159,0.88075,0.61285,0.40261,0.50911,0.21008,0.18877,0.08069,1.42955,5.62746,0.11239,1.21771,2.12478,0.000477838,0.000477838,0.000477838
73,829.823,0.78594,4.85994,0.39739,1.07565,1.20919,0.52099,0.75568,0.67979,0.42416,0.227,0.25764,0.19344,0.0744,1.45221,5.51214,0.13503,1.19828,2.29436,0.000476737,0.000476737,0.000476737
74,841.126,0.77901,4.95678,0.40256,1.05613,1.20548,0.46434,0.73984,0.65315,0.44754,0.50578,0.27,0.21195,0.10181,1.22672,5.2509,0.13928,1.05732,1.94493,0.000475636,0.000475636,0.000475636
75,852.421,0.74997,4.91275,0.40489,1.01989,1.18187,0.60982,0.62263,0.68506,0.47461,0.31156,0.23699,0.20281,0.07751,1.32841,5.59797,0.10964,1.30002,2.11078,0.000474535,0.000474535,0.000474535
76,863.771,0.77675,4.86364,0.39073,1.01773,1.17643,0.60885,0.59637,0.67383,0.44961,0.53399,0.24157,0.26296,0.13196,1.25704,5.4215,0.08037,1.32257,1.91077,0.000473434,0.000473434,0.000473434
77,875.143,0.74094,4.82549,0.39509,1.02335,1.16184,0.52966,0.69969,0.70535,0.47754,0.51578,0.2304,0.21385,0.09684,1.27881,5.26607,0.10929,1.16238,1.94468,0.000472333,0.000472333,0.000472333
78,886.687,0.7512,4.68016,0.39738,1.01811,1.19993,0.52756,0.63675,0.61101,0.38942,0.32004,0.31512,0.23471,0.10534,1.36802,5.36902,0.11082,1.15001,2.2155,0.000471232,0.000471232,0.000471232
79,897.991,0.74227,4.86952,0.39287,1.04352,1.19588,0.50709,0.74814,0.68322,0.46309,0.32096,0.19791,0.14807,0.07938,1.2044,5.2346,0.13693,1.13165,1.86458,0.000470131,0.000470131,0.000470131
80,909.331,0.78809,4.79698,0.39409,1.06269,1.2163,0.61763,0.69057,0.67394,0.4474,0.54117,0.12789,0.13932,0.06812,1.43766,5.61726,0.13538,1.33286,2.18143,0.00046903,0.00046903,0.00046903
81,920.637,0.74404,4.87483,0.39313,0.99172,1.17415,0.62155,0.66136,0.6444,0.45024,0.31288,0.18832,0.16465,0.08677,1.23337,5.33565,0.1341,1.29852,1.91978,0.00046793,0.00046793,0.00046793
82,931.962,0.75407,4.66214,0.38639,0.97923,1.18047,0.40638,0.75791,0.59987,0.40591,0.72801,0.25073,0.21736,0.08454,1.32621,5.24532,0.11628,1.22355,2.11286,0.000466829,0.000466829,0.000466829
83,943.282,0.75268,4.84359,0.40387,0.99842,1.18015,0.60462,0.61199,0.60201,0.42676,0.3939,0.27206,0.20156,0.09589,1.24672,5.24394,0.15304,1.27517,1.95505,0.000465728,0.000465728,0.000465728
84,954.613,0.75094,4.79909,0.39074,1.01141,1.17198,0.5162,0.63101,0.68135,0.44695,0.29635,0.21152,0.15948,0.09056,1.45743,5.24448,0.09149,1.17167,2.1772,0.000464627,0.000464627,0.000464627
85,965.922,0.73594,4.71947,0.39398,0.98943,1.16644,0.52618,0.66322,0.64007,0.38257,0.31261,0.27208,0.23651,0.10099,1.59638,5.39143,0.09969,1.07151,2.5954,0.000463526,0.000463526,0.000463526
86,977.221,0.76474,4.87615,0.39309,1.025,1.20111,0.48386,0.75759,0.71645,0.47147,0.52593,0.25643,0.34102,0.11326,1.43646,5.29544,0.11268,1.10297,2.3339,0.000462425,0.000462425,0.000462425
87,988.458,0.72756,4.6319,0.38383,0.97943,1.16119,0.61514,0.66198,0.66698,0.44363,0.54506,0.2284,0.2461,0.13081,1.2184,5.2534,0.10288,1.06426,2.0517,0.000461324,0.000461324,0.000461324
88,999.766,0.75158,4.65823,0.38747,0.98196,1.19346,0.53886,0.67195,0.71491,0.53164,0.29902,0.30151,0.32271,0.13314,1.24511,5.24126,0.08989,1.06167,2.0452,0.000460223,0.000460223,0.000460223
89,1011.2,0.723,4.62553,0.38457,0.99941,1.15825,0.43046,0.76179,0.75105,0.5036,0.76115,0.23069,0.25702,0.1166,1.57514,5.25634,0.09953,1.20428,2.33634,0.000459123,0.000459123,0.000459123
