epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,286.915,0.69926,4.94946,0.43672,1.01365,1.1506,0.73721,0.54542,0.66885,0.46875,0.5147,0.22374,0.1726,0.05781,1.29429,5.67436,0.18682,1.12486,2.19691,0.000181701,0.000181701,0.000181701
70,290.901,0.69326,4.82229,0.44108,0.9718,1.1439,0.51013,0.64531,0.70565,0.48752,0.50776,0.21323,0.24578,0.07262,1.33099,5.62038,0.21128,1.12292,2.15785,0.000176196,0.000176196,0.000176196
71,295.1,0.69295,4.77987,0.43354,1.00026,1.15271,0.48541,0.72996,0.69578,0.49003,0.27718,0.32578,0.25215,0.07302,1.26601,5.73696,0.199,1.26875,2.09027,0.000170692,0.000170692,0.000170692
72,299.138,0.66241,4.79325,0.443,0.93847,1.12651,0.4911,0.71252,0.63797,0.43483,0.49988,0.23615,0.2598,0.06256,1.3086,5.81062,0.20082,1.19906,2.04366,0.000165188,0.000165188,0.000165188
73,303.097,0.71084,4.71794,0.43399,0.9687,1.15693,0.42415,0.69557,0.64727,0.44805,0.62196,0.22676,0.26654,0.0774,1.22785,5.57841,0.20529,1.26907,2.00797,0.000159683,0.000159683,0.000159683
74,307.158,0.69077,4.83566,0.44061,0.97885,1.15093,0.65973,0.48451,0.64234,0.44004,0.53001,0.24072,0.18496,0.06664,1.24767,5.56281,0.19273,1.18882,2.03411,0.000154179,0.000154179,0.000154179
75,311.269,0.69054,4.79083,0.43403,0.94771,1.14181,0.76689,0.52786,0.64939,0.45697,0.53728,0.24889,0.19503,0.06533,1.21306,5.63312,0.18281,1.17208,2.00199,0.000148674,0.000148674,0.000148674
76,315.266,0.68029,4.73462,0.43394,0.91864,1.12036,0.66292,0.53497,0.67841,0.46693,0.62573,0.23877,0.20073,0.07404,1.3357,5.6366,0.19503,1.16745,2.11694,0.00014317,0.00014317,0.00014317
77,319.303,0.66442,4.70271,0.43927,0.92555,1.11745,0.50721,0.64747,0.65171,0.44786,0.44368,0.24584,0.19856,0.0677,1.35128,5.63784,0.17433,1.22559,2.15563,0.000137666,0.000137666,0.000137666
78,323.448,0.67281,4.5369,0.43659,0.93756,1.14222,0.52855,0.65833,0.65873,0.46521,0.54404,0.24691,0.20999,0.07544,1.31003,5.58906,0.19871,1.20137,2.08535,0.000132161,0.000132161,0.000132161
79,327.445,0.64235,4.71404,0.43048,0.92816,1.12573,0.50186,0.66914,0.65773,0.46758,0.45839,0.25514,0.29132,0.0845,1.28012,5.56558,0.20117,1.20612,2.02834,0.000126657,0.000126657,0.000126657
80,331.444,0.68475,4.68384,0.43149,0.95434,1.15289,0.48405,0.75,0.70984,0.5012,0.43611,0.25774,0.25021,0.08598,1.26706,5.62781,0.18508,1.14462,2.03542,0.000121152,0.000121152,0.000121152
81,335.547,0.66381,4.69893,0.43293,0.8987,1.12333,0.57954,0.60134,0.6618,0.4576,0.35398,0.29654,0.21657,0.07696,1.26363,5.57914,0.19767,1.20206,2.02245,0.000115648,0.000115648,0.000115648
82,339.76,0.67907,4.63216,0.42316,0.92087,1.1269,0.42196,0.74516,0.65677,0.45891,0.43084,0.26689,0.20071,0.06576,1.24783,5.57138,0.18093,1.14492,2.03805,0.000110144,0.000110144,0.000110144
83,343.789,0.67357,4.79144,0.44228,0.90756,1.128,0.46434,0.69843,0.67231,0.47269,0.50628,0.23415,0.1745,0.06734,1.28052,5.50295,0.1758,1.16377,2.13559,0.000104639,0.000104639,0.000104639
84,347.742,0.674,4.65498,0.42585,0.9338,1.12992,0.50651,0.68135,0.72306,0.49679,0.53225,0.2268,0.19045,0.06917,1.36636,5.46792,0.18956,1.17637,2.24455,9.91348e-05,9.91348e-05,9.91348e-05
85,351.784,0.6383,4.52565,0.42697,0.90555,1.10649,0.49331,0.67704,0.67853,0.47208,0.52279,0.23001,0.18574,0.06681,1.3295,5.44227,0.18282,1.17396,2.1341,9.36304e-05,9.36304e-05,9.36304e-05
86,355.786,0.65607,4.73533,0.42809,0.90054,1.12122,0.56668,0.59815,0.70969,0.50599,0.52594,0.2268,0.25853,0.08076,1.32344,5.47774,0.16475,1.21912,2.13075,8.8126e-05,8.8126e-05,8.8126e-05
87,359.762,0.63699,4.62553,0.4244,0.89698,1.11469,0.57974,0.59626,0.75274,0.53664,0.44066,0.23116,0.30714,0.10025,1.33881,5.50506,0.16562,1.25891,2.19185,8.26216e-05,8.26216e-05,8.26216e-05
88,363.931,0.63715,4.51918,0.42942,0.87147,1.11891,0.58297,0.62243,0.67155,0.47172,0.52802,0.23546,0.278,0.08322,1.32061,5.48769,0.16638,1.21788,2.1914,7.71172e-05,7.71172e-05,7.71172e-05
89,367.929,0.64106,4.48449,0.42372,0.8925,1.10143,0.54945,0.63226,0.67727,0.47883,0.53211,0.24653,0.26458,0.07847,1.29704,5.51761,0.18327,1.28506,2.12509,7.16128e-05,7.16128e-05,7.16128e-05
90,371.968,0.63321,4.62163,0.43472,0.87441,1.12148,0.55401,0.62817,0.67243,0.48335,0.53408,0.24791,0.26223,0.07933,1.2511,5.51237,0.17519,1.35741,2.09845,6.61084e-05,6.61084e-05,6.61084e-05
91,377.778,0.55121,4.10376,0.26049,0.6441,1.13087,0.50275,0.65155,0.7535,0.52347,0.55124,0.25792,0.23518,0.08228,1.38099,5.45238,0.17657,1.1663,2.32264,6.0604e-05,6.0604e-05,6.0604e-05
92,381.776,0.54019,4.07087,0.24378,0.61789,1.10771,0.50785,0.67285,0.76487,0.55824,0.57756,0.27255,0.34839,0.09893,1.25986,5.40566,0.16916,1.36035,2.17109,5.50996e-05,5.50996e-05,5.50996e-05
93,386.001,0.53313,4.08182,0.24522,0.61247,1.11522,0.5905,0.61907,0.72342,0.51863,0.54797,0.24009,0.23341,0.09027,1.37052,5.38453,0.16448,1.19858,2.30728,4.95952e-05,4.95952e-05,4.95952e-05
94,389.987,0.54177,4.01941,0.22703,0.58523,1.11229,0.51659,0.6585,0.72765,0.52337,0.54125,0.24345,0.23943,0.07918,1.25585,5.38962,0.14812,1.30417,2.11689,4.40908e-05,4.40908e-05,4.40908e-05
95,393.903,0.51933,4.08739,0.22508,0.59839,1.09944,0.51642,0.67632,0.72745,0.52857,0.54171,0.23321,0.22491,0.07942,1.28068,5.37759,0.14752,1.33589,2.17573,3.85864e-05,3.85864e-05,3.85864e-05
96,397.818,0.51377,3.9961,0.23164,0.57085,1.11235,0.56495,0.62427,0.68487,0.47431,0.54291,0.24603,0.28099,0.08512,1.3827,5.37026,0.14364,1.22301,2.34939,3.3082e-05,3.3082e-05,3.3082e-05
97,401.939,0.51049,3.96454,0.22253,0.58102,1.09817,0.55165,0.63298,0.69013,0.49106,0.54568,0.24603,0.28476,0.08712,1.27054,5.35948,0.13845,1.2682,2.17377,2.75776e-05,2.75776e-05,2.75776e-05
98,405.931,0.52825,3.9407,0.22702,0.58059,1.11507,0.77468,0.52144,0.68759,0.49259,0.54285,0.24603,0.196,0.07452,1.28682,5.35778,0.13957,1.26004,2.19125,2.20732e-05,2.20732e-05,2.20732e-05
99,409.81,0.51761,3.94766,0.2271,0.56355,1.10473,0.51101,0.68724,0.69127,0.47513,0.55964,0.26686,0.21165,0.07397,1.3578,5.34262,0.13647,1.19981,2.27615,1.65688e-05,1.65688e-05,1.65688e-05
100,413.918,0.52059,3.88274,0.22423,0.56341,1.11417,0.51402,0.66845,0.73667,0.51583,0.5616,0.26686,0.25432,0.08425,1.33725,5.34058,0.13474,1.18268,2.24773,1.10644e-05,1.10644e-05,1.10644e-05
