epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,456.132,0.62643,4.4165,0.39502,0.85574,1.12437,0.48353,0.69374,0.68069,0.43199,0.45587,0.2364,0.25431,0.10113,1.37489,5.09662,0.14005,1.40069,2.29172,0.000159683,0.000159683,0.000159683
110,460.522,0.63488,4.24282,0.39093,0.81409,1.10598,0.47172,0.69321,0.6748,0.46689,0.47376,0.2439,0.25961,0.09876,1.27999,5.15928,0.15619,1.34018,2.14581,0.000156014,0.000156014,0.000156014
111,464.605,0.61937,4.14334,0.36603,0.82059,1.10401,0.54724,0.62297,0.64142,0.45461,0.37132,0.27961,0.22334,0.106,1.32072,5.03205,0.1399,1.34055,2.22316,0.000152344,0.000152344,0.000152344
112,468.741,0.6204,4.23863,0.39148,0.78191,1.09132,0.6839,0.57132,0.68932,0.46411,0.49636,0.31884,0.30983,0.1316,1.42058,5.06397,0.11199,1.3132,2.45666,0.000148674,0.000148674,0.000148674
113,472.868,0.6327,4.20141,0.38095,0.82025,1.11782,0.70699,0.55551,0.70253,0.46555,0.49619,0.32144,0.30847,0.12423,1.46079,5.07931,0.11091,1.17771,2.64815,0.000145005,0.000145005,0.000145005
114,476.993,0.64689,4.12463,0.38988,0.78665,1.12128,0.57832,0.63746,0.68349,0.45708,0.64137,0.3064,0.30313,0.11765,1.40854,5.11503,0.11504,1.173,2.54267,0.000141335,0.000141335,0.000141335
115,481.085,0.61193,4.1562,0.37642,0.78522,1.08965,0.54115,0.69732,0.71524,0.48374,0.54602,0.3344,0.40228,0.12826,1.43459,5.05445,0.12625,1.19969,2.59652,0.000137666,0.000137666,0.000137666
116,485.247,0.61581,4.0826,0.37948,0.81514,1.10618,0.61045,0.54898,0.66731,0.44387,0.51948,0.30846,0.34933,0.13072,1.48193,4.93085,0.12768,1.09884,2.67627,0.000133996,0.000133996,0.000133996
117,489.322,0.62608,4.2076,0.38176,0.78432,1.10499,0.58349,0.55591,0.67215,0.45843,0.48438,0.34922,0.38682,0.12546,1.4452,5.02123,0.13323,1.09725,2.56969,0.000130326,0.000130326,0.000130326
118,493.513,0.62638,4.00515,0.3774,0.80642,1.11557,0.58226,0.56274,0.62585,0.41084,0.39278,0.34512,0.29445,0.11071,1.3983,5.10983,0.13324,1.16998,2.40479,0.000126657,0.000126657,0.000126657
