epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,693.625,0.44837,2.48884,0.31234,0.51298,0.99789,0.49701,0.62064,0.61991,0.43173,0.63502,0.47143,0.43954,0.24211,1.44711,3.68111,0.07759,1.17252,2.7066,0.000390868,0.000390868,0.000390868
62,704.949,0.43788,2.53283,0.3068,0.51182,0.99567,0.59114,0.65454,0.61542,0.42536,0.67296,0.48908,0.45692,0.21331,1.49545,3.62181,0.10543,1.24496,2.86532,0.000388116,0.000388116,0.000388116
63,716.277,0.43641,2.46084,0.3167,0.49174,1.00747,0.45403,0.67878,0.64062,0.44084,0.58237,0.51243,0.46776,0.24109,1.46399,3.55035,0.09961,1.20398,2.88042,0.000385364,0.000385364,0.000385364
64,727.643,0.42532,2.64869,0.31238,0.50709,0.99268,0.53819,0.55845,0.61203,0.41683,0.45041,0.47474,0.39373,0.21373,1.49007,3.93877,0.09935,1.37072,2.85366,0.000382611,0.000382611,0.000382611
65,738.934,0.46558,2.53509,0.30399,0.54147,1.01104,0.55696,0.55588,0.60885,0.4107,0.46738,0.46964,0.46468,0.21044,1.53518,4.10146,0.07399,1.36291,2.7415,0.000379859,0.000379859,0.000379859
66,750.266,0.45765,2.57835,0.31678,0.51228,1.01092,0.46952,0.60233,0.58576,0.41183,0.49638,0.41767,0.45766,0.26123,1.48902,3.86957,0.06523,1.47469,2.68519,0.000377107,0.000377107,0.000377107
67,761.569,0.45262,2.56384,0.31039,0.51106,1.00531,0.55691,0.5919,0.59207,0.40256,0.70714,0.43859,0.44846,0.24156,1.52049,3.80604,0.0726,1.40165,2.90079,0.000374355,0.000374355,0.000374355
68,772.89,0.44534,2.49564,0.3136,0.50811,0.99964,0.49585,0.67239,0.60474,0.41438,0.66599,0.47477,0.41884,0.25028,1.46299,3.55887,0.05888,1.30706,2.9053,0.000371603,0.000371603,0.000371603
69,784.197,0.45154,2.56801,0.30748,0.51934,1.00762,0.5411,0.64573,0.61189,0.43116,0.71177,0.50363,0.46286,0.25138,1.43016,3.45702,0.05983,1.24815,2.81157,0.00036885,0.00036885,0.00036885
70,795.492,0.4282,2.4099,0.30807,0.49768,1.00046,0.48244,0.68263,0.60981,0.42298,0.52278,0.50687,0.45389,0.26269,1.49209,3.31054,0.06812,1.30059,2.85145,0.000366098,0.000366098,0.000366098
71,806.947,0.43997,2.43508,0.29921,0.494,1.0062,0.59535,0.59363,0.52846,0.36504,0.67329,0.5187,0.47526,0.26567,1.44551,3.224,0.05805,1.39571,2.81096,0.000363346,0.000363346,0.000363346
72,818.258,0.42413,2.34409,0.30984,0.46283,0.99251,0.61119,0.56,0.60355,0.41626,0.6925,0.48397,0.51568,0.25472,1.44503,3.56091,0.07534,1.38857,2.94055,0.000360594,0.000360594,0.000360594
73,829.563,0.45044,2.48099,0.30329,0.50177,1.00557,0.51383,0.58441,0.58704,0.39971,0.53679,0.45119,0.46251,0.22471,1.49204,3.99582,0.08834,1.34031,3.0327,0.000357842,0.000357842,0.000357842
74,840.88,0.42868,2.50056,0.3059,0.5035,1.00076,0.51759,0.605,0.59824,0.39663,0.43972,0.43001,0.43758,0.23793,1.50149,4.04748,0.17012,1.32748,3.05378,0.000355089,0.000355089,0.000355089
75,852.162,0.42073,2.50887,0.31409,0.48673,0.98891,0.51651,0.58665,0.62674,0.41232,0.69747,0.49412,0.53086,0.26196,1.44836,3.71897,0.15205,1.26332,2.92414,0.000352337,0.000352337,0.000352337
76,863.468,0.41452,2.33167,0.30165,0.46027,0.9682,0.54276,0.60152,0.6184,0.39959,0.57953,0.52256,0.53122,0.28015,1.52148,3.55823,0.10133,1.27786,2.98417,0.000349585,0.000349585,0.000349585
77,874.765,0.39592,2.34869,0.30869,0.46649,0.96835,0.57395,0.70711,0.63129,0.43109,0.57481,0.50555,0.42804,0.21408,1.48294,3.75218,0.09755,1.29743,2.9219,0.000346833,0.000346833,0.000346833
78,886.081,0.42348,2.26721,0.30641,0.49214,1.00072,0.55405,0.68752,0.64193,0.45662,0.70951,0.50951,0.53778,0.25902,1.46142,3.68381,0.09194,1.25232,2.9394,0.000344081,0.000344081,0.000344081
79,897.551,0.42239,2.38849,0.30259,0.49681,1.00174,0.52958,0.57681,0.60756,0.4186,0.50229,0.49143,0.52649,0.27493,1.48209,3.61146,0.07454,1.31812,2.95355,0.000341328,0.000341328,0.000341328
80,908.863,0.44446,2.27539,0.30376,0.49712,1.01148,0.52147,0.60496,0.60025,0.41905,0.68656,0.47637,0.50906,0.26392,1.43432,3.36051,0.06565,1.26639,2.89152,0.000338576,0.000338576,0.000338576
81,920.168,0.41664,2.41662,0.31641,0.47622,0.98295,0.61271,0.57716,0.68548,0.46243,0.77936,0.49374,0.52303,0.27212,1.45709,3.47117,0.08891,1.26399,2.93387,0.000335824,0.000335824,0.000335824
